Time: 0:26	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 91%
Time: 0:12	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 91%
Time: 0:43	Keystrokes:    23	Incorrects:    2	WPM: 5	Accuracy: 91%
Time: 0:02	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 0:18	Keystrokes:    22	Incorrects:    12	WPM: 6	Accuracy: 45%
Time: 0:07	Keystrokes:    13	Incorrects:    8	WPM: 8	Accuracy: 38%
Time: 0:05	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 0:02	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 0:03	Keystrokes:    8	Incorrects:    1	WPM: 40	Accuracy: 87%
Time: 0:03	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 53%
